Timestamp,Source,Event,Details
2025-10-17T15:09:13.957864,Arduino,CMD,RUN sent
2025-10-17T15:09:14.244845,Arduino,Message,",13860"
2025-10-17T15:09:14.504885,Arduino,Malformed IMU,"IMU,795228,13700"
2025-10-17T15:09:14.689766,Arduino,Message,"IMU,795228,13700"
2025-10-17T15:09:15.707396,IMU,Position,AX=7196 AY=-1944 AZ=13768
2025-10-17T15:09:16.289616,Arduino,Message,"IMU,7196,-1944,13768"
2025-10-17T15:09:17.639214,IMU,Position,AX=7188 AY=-2276 AZ=13960
2025-10-17T15:09:18.089874,Arduino,Message,"IMU,7188,-2276,13960"
2025-10-17T15:09:19.672713,IMU,Position,AX=7192 AY=-1784 AZ=13780
2025-10-17T15:09:20.156522,Arduino,Message,"IMU,7192,-1784,13780"
2025-10-17T15:09:21.089414,IMU,Position,AX=7736 AY=-1960 AZ=13572
2025-10-17T15:09:21.522286,Arduino,Message,"IMU,7736,-1960,13572"
2025-10-17T15:09:22.840178,IMU,Position,AX=7168 AY=-1872 AZ=13860
2025-10-17T15:09:23.137403,Arduino,Message,"IMU,7168,-1872,13860"
2025-10-17T15:09:24.323729,IMU,Position,AX=7952 AY=8 AZ=13700
2025-10-17T15:09:24.789693,Arduino,Message,"IMU,7952,8,13700"
2025-10-17T15:09:26.589201,IMU,Position,AX=7196 AY=-1944 AZ=13768
2025-10-17T15:09:26.872745,Arduino,Message,"IMU,7196,-1944,13768"
2025-10-17T15:09:27.987758,IMU,Position,AX=7188 AY=-2276 AZ=13960
2025-10-17T15:09:28.207145,Arduino,Message,"IMU,7188,-2276,13960"
2025-10-17T15:09:29.422493,IMU,Position,AX=7192 AY=-1784 AZ=13780
2025-10-17T15:09:29.689082,Arduino,Message,"IMU,7192,-1784,13780"
2025-10-17T15:09:31.140401,IMU,Position,AX=7736 AY=-1960 AZ=13572
2025-10-17T15:09:31.440687,Arduino,Message,"IMU,7736,-1960,13572"
2025-10-17T15:09:33.106069,IMU,Position,AX=7168 AY=-1872 AZ=13860
2025-10-17T15:09:33.438325,Arduino,Message,"IMU,7168,-1872,13860"
2025-10-17T15:09:34.055910,Arduino,Malformed IMU,"IMU,7952,MPU6050 connected."
2025-10-17T15:09:34.339229,Arduino,Message,"IMU,7952,MPU6050 connected."
2025-10-17T15:09:36.021326,IMU,Position,AX=8248 AY=-2624 AZ=13296
2025-10-17T15:09:36.256044,Arduino,Message,"IMU,8248,-2624,13296"
2025-10-17T15:09:37.103578,IMU,Position,AX=8168 AY=-2664 AZ=13212
2025-10-17T15:09:37.356072,Arduino,Message,"IMU,8168,-2664,13212"
2025-10-17T15:09:38.422720,IMU,Position,AX=8340 AY=-2872 AZ=13180
2025-10-17T15:09:38.871528,Arduino,Message,"IMU,8340,-2872,13180"
2025-10-17T15:09:41.039458,IMU,Position,AX=8296 AY=-2384 AZ=13184
2025-10-17T15:09:41.217552,Arduino,Message,"IMU,8296,-2384,13184"
2025-10-17T15:09:42.889667,IMU,Position,AX=8100 AY=-2512 AZ=13164
2025-10-17T15:09:43.206110,Arduino,Message,"IMU,8100,-2512,13164"
