Timestamp,Source,Event,Details
2025-09-30T16:04:33.509308,Arduino,Message,"IMU,2728,1160,14988"
2025-09-30T16:04:36.797302,Arduino,Message,264
2025-09-30T16:04:39.981211,Arduino,Message,"IMU,2564,916,15304"
2025-09-30T16:04:43.226861,Arduino,Message,"IMU,2564,888,15340"
2025-09-30T16:04:50.195614,Arduino,Message,"IMU,2580,972,15196"
2025-09-30T16:04:51.500320,Arduino,Message,"IMU,2708,1040,15232"
2025-09-30T16:04:53.811500,Arduino,Message,"IMU,2612,1064,15076"
2025-09-30T16:04:57.275051,Arduino,Message,"IMU,2728,1160,14988"
2025-09-30T16:05:00.882846,Arduino,Message,MPU6050 connected.
2025-09-30T16:05:03.977929,Arduino,Message,"IMU,2592,1020,15156"
2025-09-30T16:05:04.800981,Arduino,Message,"IMU,2648,1028,15104"
2025-09-30T16:05:10.166207,Arduino,Message,"IMU,2640,1080,15164"
2025-09-30T16:05:13.334396,Arduino,Message,"IMU,2688,1112,15092"
2025-09-30T16:05:16.945658,Arduino,Message,"IMU,2568,984,15164"
2025-09-30T16:05:20.312269,Arduino,Message,"IMU,2640,956,15140"
2025-09-30T16:05:21.185041,Arduino,Message,"IMU,2780,980,15180"
2025-09-30T16:05:23.448419,Arduino,Message,"IMU,2632,1048,15276"
2025-09-30T16:05:26.520534,Arduino,Message,"IMU,2320,1024,14784"
