Timestamp,Source,Event,Details
2025-09-30T15:30:52.710249,Arduino,Message,2932
2025-09-30T15:30:53.182019,Arduino,Message,AY: -3168
2025-09-30T15:30:56.225992,Arduino,Message,AY: -3084
2025-09-30T15:30:59.219497,Arduino,Message,AY: -3104
2025-09-30T15:31:00.007715,Arduino,Message,AY: -3080
2025-09-30T15:31:02.434080,Arduino,Message,-3232
2025-09-30T15:31:08.948534,Arduino,Message,AY: -3140
2025-09-30T15:31:09.553041,Arduino,Message,AY: -3096
2025-09-30T15:31:12.514838,Arduino,Message,AY: -3060
2025-09-30T15:31:19.225395,Arduino,Message,AY: -3276
2025-09-30T15:31:22.287454,Arduino,Message,AY: -3252
2025-09-30T15:31:23.270325,Arduino,Message,AY: -3072
2025-09-30T15:31:25.609761,Arduino,Message,AY: -2932
2025-09-30T15:31:28.588282,Arduino,Message,AY: -3168
2025-09-30T15:31:32.398232,Arduino,Message,AY: -3084
2025-09-30T15:31:34.897157,Arduino,Message,AY: -3104
2025-09-30T15:31:35.373019,Arduino,Message,AY: -3080
2025-09-30T15:31:38.028090,Arduino,Message,MPU6050 connected.
2025-09-30T15:31:41.103460,Arduino,Message,AY: -3024
2025-09-30T15:31:44.179488,Arduino,Message,AY: -3056
