Timestamp,Source,Event,Details,Stim_Amp,Stim_Freq,Stim_PW
2025-10-17T15:43:57.345798,Arduino,TX,UNLOCK,"10,35,300"
2025-10-17T15:43:57.403588,Arduino,TX,RUN,"10,35,300"
2025-10-17T15:43:57.461078,Arduino,CMD,UNLOCK and RUN sent,"10,35,300"
2025-10-17T15:43:57.767043,Arduino,RX,"0,444,14112","10,35,300"
2025-10-17T15:43:57.779237,Arduino,Message,"0,444,14112","10,35,300"
2025-10-17T15:43:57.803906,Arduino,RX,,"10,35,300"
2025-10-17T15:43:58.918717,Arduino,RX,"IMU,5512,-488,14496","10,35,300"
2025-10-17T15:43:59.118385,IMU,Position,AX=5512 AY=-488 AZ=14496,"10,35,300"
2025-10-17T15:44:00.565952,Arduino,RX,"IMU,5920,-1248,14580","10,35,300"
2025-10-17T15:44:00.833032,IMU,Position,AX=5920 AY=-1248 AZ=14580,"10,35,300"
2025-10-17T15:44:01.551886,Arduino,RX,"IMU,5200,-1004,15072","10,35,300"
2025-10-17T15:44:01.832452,IMU,Position,AX=5200 AY=-1004 AZ=15072,"10,35,300"
2025-10-17T15:44:02.513384,Arduino,RX,"IMU,7424,560,13964","10,35,300"
2025-10-17T15:44:02.867757,IMU,Position,AX=7424 AY=560 AZ=13964,"10,35,300"
2025-10-17T15:44:03.812680,Arduino,RX,"IMU,7636,-100,13704","10,35,300"
2025-10-17T15:44:04.168481,IMU,Position,AX=7636 AY=-100 AZ=13704,"10,35,300"
2025-10-17T15:44:05.053044,Arduino,RX,"IMU,6860,444,14112","10,35,300"
2025-10-17T15:44:05.458828,IMU,Position,AX=6860 AY=444 AZ=14112,"10,35,300"
2025-10-17T15:44:05.929709,Arduino,RX,,"10,35,300"
2025-10-17T15:44:07.269604,Arduino,RX,"IMU,5512,-488,14496","10,35,300"
2025-10-17T15:44:07.566575,IMU,Position,AX=5512 AY=-488 AZ=14496,"10,35,300"
2025-10-17T15:44:08.401399,Arduino,RX,"IMU,5920,-1248,14580","10,35,300"
2025-10-17T15:44:08.762397,IMU,Position,AX=5920 AY=-1248 AZ=14580,"10,35,300"
2025-10-17T15:44:09.533400,Arduino,RX,"IMU,5200,-1004,15072","10,35,300"
2025-10-17T15:44:09.768306,IMU,Position,AX=5200 AY=-1004 AZ=15072,"10,35,300"
2025-10-17T15:44:10.848084,Arduino,RX,"IMU,7424,560,13964","10,35,300"
2025-10-17T15:44:11.135997,IMU,Position,AX=7424 AY=560 AZ=13964,"10,35,300"
2025-10-17T15:44:11.979364,Arduino,RX,"IMU,7636,-100,13704","10,35,300"
2025-10-17T15:44:12.368352,IMU,Position,AX=7636 AY=-100 AZ=13704,"10,35,300"
2025-10-17T15:44:12.997326,Arduino,RX,"IMU,6860,444,14112","10,35,300"
2025-10-17T15:44:13.218724,IMU,Position,AX=6860 AY=444 AZ=14112,"10,35,300"
2025-10-17T15:44:14.093949,Arduino,RX,MPU6050 connected.,"10,35,300"
2025-10-17T15:44:14.431994,Arduino,Message,MPU6050 connected.,"10,35,300"
2025-10-17T15:44:15.866589,Arduino,RX,"IMU,4712,-1540,14608","10,35,300"
2025-10-17T15:44:16.345453,IMU,Position,AX=4712 AY=-1540 AZ=14608,"10,35,300"
2025-10-17T15:44:17.764603,Arduino,RX,"IMU,5000,-1640,14912","10,35,300"
2025-10-17T15:44:18.249762,IMU,Position,AX=5000 AY=-1640 AZ=14912,"10,35,300"
2025-10-17T15:44:19.450700,Arduino,RX,"IMU,5040,-1660,14640","10,35,300"
2025-10-17T15:44:19.848475,IMU,Position,AX=5040 AY=-1660 AZ=14640,"10,35,300"
2025-10-17T15:44:20.946908,Arduino,RX,"IMU,4940,-1500,14800","10,35,300"
2025-10-17T15:44:21.186296,IMU,Position,AX=4940 AY=-1500 AZ=14800,"10,35,300"
2025-10-17T15:44:22.236367,Arduino,RX,"IMU,5124,-1792,14848","10,35,300"
2025-10-17T15:44:22.468309,IMU,Position,AX=5124 AY=-1792 AZ=14848,"10,35,300"
2025-10-17T15:44:22.969365,Arduino,RX,"IMU,5144,-1528,14792","10,35,300"
2025-10-17T15:44:23.250568,IMU,Position,AX=5144 AY=-1528 AZ=14792,"10,35,300"
2025-10-17T15:44:24.084346,Arduino,RX,"IMU,4920,-1560,14784","10,35,300"
2025-10-17T15:44:24.431325,IMU,Position,AX=4920 AY=-1560 AZ=14784,"10,35,300"
2025-10-17T15:44:25.000489,Arduino,RX,"IMU,4892,-1528,14920","10,35,300"
2025-10-17T15:44:25.318658,IMU,Position,AX=4892 AY=-1528 AZ=14920,"10,35,300"
2025-10-17T15:44:26.543260,Arduino,RX,"IMU,4828,-1552,14820","10,35,300"
2025-10-17T15:44:26.702036,IMU,Position,AX=4828 AY=-1552 AZ=14820,"10,35,300"
2025-10-17T15:44:27.786413,Arduino,RX,"IMU,5192,-1584,14628","10,35,300"
2025-10-17T15:44:28.164519,IMU,Position,AX=5192 AY=-1584 AZ=14628,"10,35,300"
2025-10-17T15:44:29.211442,Arduino,RX,"IMU,4968,-1616,14816","10,35,300"
2025-10-17T15:44:29.452756,IMU,Position,AX=4968 AY=-1616 AZ=14816,"10,35,300"
2025-10-17T15:44:29.850578,Arduino,RX,"IMU,5160,-1736,14756","10,35,300"
2025-10-17T15:44:30.233880,IMU,Position,AX=5160 AY=-1736 AZ=14756,"10,35,300"
